,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
15471,2021,31209,6,ESCUELA ESPECIAL DE LENGUAJE HAMELIN, ,53330411,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,1,"-29,991290000000000","-71,32441000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15472,2021,31211,8,ESCUELA ESPECIAL DE LENGUAJE PEQUEÑA ORUGA, ,65145295,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,923489000000000","-71,23653000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15473,2021,31212,6,ESCUELA ESPECIAL DE LENGUAJE AMARANTA, ,65115192,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,885332000000000","-71,25266000000001",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15474,2021,31213,4,ESCUELA ESPECIAL DE LENGUAJE ULPAN, ,76172029,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,GRATUITO,GRATUITO
15475,2021,31214,2,ESCUELA ESP DE LENGUAJE LA FABRICA DE SUEÑOS, ,65155169,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,919804000000000","-71,23515000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15476,2021,31215,0,ESC.ESP.DE TRAS ESPEC. DE LENGUAJE WENUI, ,53330413,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,996110000000000","-71,33760500000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
15477,2021,31216,9,ESC ESPECIAL DE TRAS ESPEC DE LENG ANTARES, ,65119219,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,945974000000000","-71,24895500000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15478,2021,31217,7,ESCUELA ESPECIAL DE LENGUAJE SUEÑO DORADO, ,65165173,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,934395000000000","-71,24824000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15479,2021,31218,5,ESCUELA CULTURAL DE LENGUAJE Y JARDÍN INFANTIL VALDANI, ,65122735,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,984506610000000","-71,34375000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15480,2021,31219,3,COLEGIO VERSALLES, ,65120038,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,886221000000000","-71,23829700000000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15481,2021,31220,7,COLEGIO DE ADULTOS VALLE DE ELQUI, ,65155794,1,4,COQ,41,4106,VICUÑA,41,ELQUI,3,2,1,"-30,028027000000000","-70,72204800000000",1,165,363,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15482,2021,31221,5,COLEGIO RUKALAF, ,65143018,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,868210000000000","-71,24308800000000",1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15483,2021,31222,3,MARTIN LUTHER KING ADULT SCHOOL, ,65145018,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,880027000000000","-71,23816800000000",1,165,363,0,0,0,0,0,0,0,0,0,1,1,9, ,SIN INFORMACION,SIN INFORMACION
15484,2021,31223,1,ESCUELA ESPECIAL DE LENGUAJE EL CASTILLO DEL SABER, ,65161663,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,"-29,950024000000000","-71,26616500000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15675,2021,32058,7,ESCUELA ESPECIAL DE LENGUAJE SANTA TERESA, ,65158546,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,1,"-29,896163000000000","-71,18492300000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,9, ,SIN INFORMACION,SIN INFORMACION
15676,2021,32059,5,ESCUELA ECOLOGICA PEJERREYES, ,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,1,"-30,384720000000000","-71,22254200000000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,9, ,SIN INFORMACION,SIN INFORMACION
15696,2021,40008,4,INSTITUTO DE EDUCACION PARA EL ADULTO, ,65158717,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,962376000000000","-71,26052000000000",1,167,363,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15706,2021,40018,1,ESC. ESPEC. DE TRANST. ESPECIF.DEL LENGUAJE A, ,65144573,1,4,COQ,42,4201,ILLAPEL,43,CHOAPA,3,2,0,"-31,642649000000000","-71,17313000000000",0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
15708,2021,40021,1,JARDIN INFANTIL KINDERLAND, ,65145288,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,"-29,971782680000000","-71,26142883000000",0,10,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
